الشاهد,الإسناد,القيمة,حالة الإسناد,المصدر,الموضع,النص,الموقف,المطابقة وطريقتها,ملاحظة,الرابط
ATT-247,AST-G10,1485–1487,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص515,ولما تعذر أمره قدم أخاه أبا عبد الله، وخلع له نفسه، ونزل بالمنكب، فأقام بها إلى أن مات، واستقل أخوه أبو عبد الله المعروف بالزغل بالملك بعده.,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),التسلسل: عودة أبي الحسن ثم نزوله للزغل؛ بلا سنة صريحة (890هـ/1485م عند عنان).,https://shamela.ws/book/1002/2537
ATT-248,AST-G10,1485–1487,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص519 (حوادث 892هـ),وحين حركتهم بالحملة بلغ السلطان الزغل أن غرناطة بايعت صاحب البيازين,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),نهاية حكم الزغل في غرناطة ربيع 892هـ/1487م.,https://shamela.ws/book/1002/2541
ATT-249,AST-G12,1487–1492,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص520,وكانت ثورة غرناطة، خامس جمادى الأولى.,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),5 جمادى الأولى 892هـ ≈ 29 أبريل 1487م (عنان: 28 أبريل).,https://shamela.ws/book/1002/2542
ATT-250,AST-G12,1487–1492,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص525,ونزل سلطان غرناطة من الحمراء.,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),نهاية حكم أبي عبد الله (897هـ/1492م).,https://shamela.ws/book/1002/2547
ATT-251,AST-G23,1487 / 892هـ,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص521,فلما تمكن العدو منهم أخذهم أسرى، وذلك أواخر شعبان سنة اثنتين وتسعين وثمانمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),سقوط مالقة: أواخر شعبان 892هـ ≈ أغسطس 1487م.,https://shamela.ws/book/1002/2543
ATT-252,AST-G25,2 يناير 1492 / 897هـ,موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص525,وفي ثاني ربيع الأول من السنة - أعني سنة سبع وتسعين وثمانمائة - استولى النصارى على الحمراء ودخلوها,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),2 ربيع الأول 897هـ = 2/3 يناير 1492م.,https://shamela.ws/book/1002/2547
ATT-253,AST-G02,1492 (تسليم غرناطة 2 يناير 1492),موثّق,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص525,وفي ثاني ربيع الأول من السنة - أعني سنة سبع وتسعين وثمانمائة - استولى النصارى على الحمراء ودخلوها,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),2 ربيع الأول 897هـ = 2/3 يناير 1492م.,https://shamela.ws/book/1002/2547
ATT-254,AST-G26,1499–1501,موثّق جزئيًا,المقري التلمساني (ت 1041هـ)، نفح الطيب من غصن الأندلس الرطيب، تحقيق إحسان عباس — نسخة الشاملة 1002,ج4 ص527,إلى أن آل الحال لحملهم المسلمين على التنصر سنة أربع وتسعمائة,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),904هـ = أغسطس 1498 – أغسطس 1499م؛ ويذكر بعده قيام أهل البيازين على الحكام.,https://shamela.ws/book/1002/2549
ATT-255,AST-G33,1194/1195 (591هـ، عام الأرك) – 1273 (29 جمادى الآخرة 671هـ),حُسم الخلاف,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص56، نقش قبر محمد الأول,ولد، ﵁، وأتاه رحمة من لدنه، عام أحد وتسعين وخمسمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),591هـ = 1194/1195م، وفي ج2 ص55 «بأرجونة، عام الأرك» (591هـ). عنان (ج5 ص38): 595هـ/1198م.,https://shamela.ws/book/11682/427
ATT-256,AST-G33,1194/1195 (591هـ، عام الأرك) – 1273 (29 جمادى الآخرة 671هـ),حُسم الخلاف,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج2 ص56، نقش قبر محمد الأول,وكانت وفاته يوم الجمعة بعد صلاة العصر التاسع والعشرين لجمادى الآخرة عام أحد وسبعين وستمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),29 جمادى الآخرة 671هـ ≈ 21 يناير 1273م؛ فقول عنان «ديسمبر 1272» سهو في التحويل.,https://shamela.ws/book/11682/427
ATT-257,AST-G33,1194/1195 (591هـ، عام الأرك) – 1273 (29 جمادى الآخرة 671هـ),حُسم الخلاف,دولة الإسلام في الأندلس,ج5 ص38 (بحسب ترقيم الشاملة للمطبوع),وولد محمد بن يوسف في أرجونة سنة ٥٩٥ هـ (١١٩٨ م),يخالف,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),رواية مرجوحة أمام نص الإحاطة (591هـ).,https://shamela.ws/book/1009/2512
ATT-258,AST-G21,1340 / 741هـ,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج3 ص298 (وفاة مترجَم له يوم الوقيعة),يوم الوقيعة الكبرى على المسلمين بظاهر طريف يوم الاثنين السابع لجمادى الأولى عام واحد وأربعين وسبعمائة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),7 جمادى الأولى 741هـ ≈ 30 أكتوبر 1340م، مطابق لتاريخ عنان. ومثله في نفح الطيب ج5 ص17.,https://shamela.ws/book/11682/1091
ATT-259,AST-G20,643هـ = 1245/1246م,حُسم الخلاف,لسان الدين ابن الخطيب (ت 776هـ)، الإحاطة في أخبار غرناطة — نسخة الشاملة 11682,ج1 ص72، ترجمة ابن الزبير الثقفي,خرج به أبوه عند تغلّب العدوّ عليها عام ثلاثة وأربعين وستمائة,يدعم جزئيًا,مطابق حرفيًا (مطابقة مباشرة للصفحة عبر وصلة الشاملة، 2026-09-23),الضمير في «عليها» يعود إلى «مدينة جيّان» في الجملة السابقة. يثبت سنة سقوط جيان (643هـ) لا تفاصيل المعاهدة وتبعية غرناطة.,https://shamela.ws/book/11682/104
ATT-260,AST-002,929,موثّق,ابن عذاري المراكشي (ت بعد 712هـ؛ تاريخ الشاملة 695)، البيان المغرب في أخبار الأندلس والمغرب — نسخة الشاملة 11782,ج2 ص198 (ضمن حوادث سنة 316),وفي هذه السنة، رأى الناصر أن تكون الدعوة له في مخاطباته والمخاطبات له في جميع ما يجري ذكره فيه، بأمير المؤمنين,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),نهاية الإمارة ببدء الدعاء بأمير المؤمنين مستهل ذي الحجة 316هـ (يناير 929م).,https://shamela.ws/book/11782/506
ATT-261,AST-003,929,موثّق,ابن عذاري المراكشي (ت بعد 712هـ؛ تاريخ الشاملة 695)، البيان المغرب في أخبار الأندلس والمغرب — نسخة الشاملة 11782,ج2 ص198 (ضمن حوادث سنة 316),وفي هذه السنة، رأى الناصر أن تكون الدعوة له في مخاطباته والمخاطبات له في جميع ما يجري ذكره فيه، بأمير المؤمنين,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بداية الخلافة: مستهل ذي الحجة 316هـ (يناير 929م).,https://shamela.ws/book/11782/506
ATT-262,AST-G06,1354–1359,موثّق,لسان الدين ابن الخطيب (ت 776هـ)، تاريخ إسبانية الإسلامية أو كتاب أعمال الأعلام، تحقيق إ. ليفي بروفنسال، ط2، بيروت: دار المكشوف، آذار 1956,ص306، دولة محمد بن يوسف بن إسماعيل (الأولى),وتمشّت أيامه على أتمّ ما يكون من الأمان، وخصب الزمان، إلى الثامن والعشرين من شهر الصوم سنة ٧٦٠. وكان التغلّب على دولته الأولى، واستولى على الأمر أخوه إسماعيل,يدعم,مطابق لصورة الصفحة (قراءة بصرية للنسخة المصوّرة 600 نقطة/بوصة، 2026-09-24),28 رمضان 760هـ ≈ 23 أغسطس 1359م (جدولي). الرقم مكتوب بالأرقام في الطبعة. يكمل ATT-240 (بداية الولاية).,https://archive.org/details/ar106biog55
ATT-263,AST-G28,776هـ (بين مستهلّها وشوالها؛ منتصف 1374م إلى أوائل 1375م),موثّق,لسان الدين ابن الخطيب (ت 776هـ)، تاريخ إسبانية الإسلامية أو كتاب أعمال الأعلام، تحقيق إ. ليفي بروفنسال، ط2، بيروت: دار المكشوف، آذار 1956,المقدمة ص ز,ولكن لم تطل المدة حتى خلع أبو زيّان وولي مكانه أبو العباس المستنصر ( ٧٧٦ ه – ١٣٧٤ م ) فاشتدّ خوف المهاجر المسكين ، وحق له الخوف إذ انتهى به الأمر إلى أن سجن بفاس ، ثم خنقته بسجنه ، في بعض الليالي ،,يدعم جزئيًا,مطابق لصورة الصفحة (قراءة بصرية للنسخة المصوّرة 600 نقطة/بوصة، 2026-09-24),كلام المحقق ليفي بروفنسال لا ابن الخطيب؛ يضع القتل بعد ولاية المستنصر سنة 776هـ دون يوم أو شهر. تتمة الجملة في ص ح: «رسل أحد أعدائه الحريصين على هلاكه».,https://archive.org/details/ar106biog55
ATT-GA01,AST-G01,1232–1238 (إعلان ابن الأحمر 1232 / دخول غرناطة 1238),موثّق,دولة الإسلام في الأندلس,ج 5 ص 38 (بحسب ترقيم الشاملة للمطبوع),وولد محمد بن يوسف في أرجونة سنة ٥٩٥ هـ (١١٩٨ م),يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يُثبت أصله من أرجونة فقط؛ انظر السجلات التالية لتواريخ القيام والدخول.,https://shamela.ws/book/1009/2512
ATT-GA02,AST-G01,1232–1238 (إعلان ابن الأحمر 1232 / دخول غرناطة 1238),موثّق,دولة الإسلام في الأندلس,ج 5 ص 39 (بحسب ترقيم الشاملة للمطبوع),ونادت قرمونة وقرطبة وإشبيلية بطاعته لمدى قصير وذلك في أواسط سنة ٦٢٩ هـ,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),629هـ ≈ 1231–1232م؛ يدعم بداية الحركة 1232 دون نصّ صريح على «إعلان أرجونة». نص الاقتباس بحسب مستخلص الصفحة.,https://shamela.ws/book/1009/2513
ATT-GA03,AST-G01,1232–1238 (إعلان ابن الأحمر 1232 / دخول غرناطة 1238),موثّق,دولة الإسلام في الأندلس,ج 5 ص 40 (بحسب ترقيم الشاملة للمطبوع),سنة ٦٣٥ هـ (أبريل سنة ١٢٣٨ م)، وهو يرتدى ثياباً خشنة وحلة مرقعة، ونزل بجامع القصبة,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),دخول غرناطة 1238؛ وفي الحاشية: «ولكن معظم الروايات على أن دخوله كان في ٦٣٥ هـ» (رواية بـ636).,https://shamela.ws/book/1009/2514
ATT-GA04,AST-G01,1232–1238 (إعلان ابن الأحمر 1232 / دخول غرناطة 1238),موثّق,Patronato de la Alhambra y Generalife,صفحة «Historia»,"Al-Ahmar, fundador de la Dinastía nazarí, se instala en 1238 en la Antigua Alcazaba del Albaicín",يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم 1238 فقط.,https://www.alhambra-patronato.es/descubrir/historia
ATT-GA05,AST-G01,1232–1238 (إعلان ابن الأحمر 1232 / دخول غرناطة 1238),موثّق,دولة الإسلام في الأندلس,ج 5، عنوان القسم (فهرس الشاملة),تاريخ مملكة غرناطة ٦٣٥ - ٨٩٧ هـ: ١٢٣٨ - ١٤٩٢ م,يدعم جزئيًا,مطابق حرفيًا عدا التشكيل (غَرناطة) (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),عنان يؤرخ المملكة من 1238 (دخول غرناطة) لا من 1232.,https://shamela.ws/book/1009/2488
ATT-GA06,AST-G02,1492 (تسليم غرناطة 2 يناير 1492),موثّق,دولة الإسلام في الأندلس,ج 5 ص 264 (بحسب ترقيم الشاملة للمطبوع),وفى صباح اليوم الثانى من يناير سنة ١٤٩٢ م، فى الوقت,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),الجملة تتمة في الصفحة التالية؛ سياقها تسليم الحمراء. وفي ص 262: استلام الحمراء «يوم ٢ يناير» ثم دخول الملكين في 8 يناير.,https://shamela.ws/book/1009/2737
ATT-GA07,AST-G02,1492 (تسليم غرناطة 2 يناير 1492),موثّق,Encyclopaedia Britannica (مرجعي عام),المقالة,"After a siege that began in 1491, he too surrendered, on January 2, 1492",يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.britannica.com/biography/Muhammad-XI
ATT-GA08,AST-G03,1232–1273,موثّق جزئيًا,دولة الإسلام في الأندلس,ج 5 ص 53 (بحسب ترقيم الشاملة للمطبوع),وتوفى محمد بن الأحمر فى التاسع والعشرين من جمادى الثانية سنة ٦٧١ هـ (ديسمبر ١٢٧٢ م) على أثر سقطة من جواده,يدعم جزئيًا,مطابق حرفيًا؛ النسخة الرقمية فيها «سة» تصحيف «سنة» (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),النص المطبوع في الشاملة فيه «سة» (خطأ طباعي لسنة). عنان يقابله بديسمبر 1272، بينما 29 جمادى الآخرة 671 ≈ يناير 1273؛ على القائد التحويل.,https://shamela.ws/book/1009/2527
ATT-GA09,AST-G03,1232–1273,موثّق جزئيًا,Encyclopaedia Britannica (مرجعي عام),المقالة,"The first Naṣrid ruler, Muḥammad I al-Ghālib (d. 1273)",يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم نهاية الولاية 1273 فقط.,https://www.britannica.com/topic/Nasrid-dynasty
ATT-GA10,AST-G04,1273–1302,موثّق,دولة الإسلام في الأندلس,ج 5 ص 112 (بحسب ترقيم الشاملة للمطبوع),ولم يمض على عقدها بضعة أشهر حتى توفى السلطان فى شعبان سنة ٧٠١ هـ (مايو سنة ١٣٠٢ م) بعد أن حكم أكثر من ثلاثين عاماً,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بداية الولاية 1273 تلزم من وفاة أبيه (ص 94: «خلفه فى الملك ولده وولى عهده أبو عبد الله محمد»).,https://shamela.ws/book/1009/2586
ATT-GA11,AST-G05,1333–1354,موثّق,دولة الإسلام في الأندلس,ج 5 ص 124 (بحسب ترقيم الشاملة للمطبوع),اغتاله فى الطريق جماعة من المتآمرين بتحريض بنى أبى العلاء، (ذى الحجة سنة ٧٣٣ هـ),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),مقتل محمد الرابع؛ وفي ص 125: «وولى العرش من بعده أخوه أبو الحجاج يوسف بن أبى الوليد إسماعيل، وهو فتى فى السادسة عشرة.» ذو الحجة 733 ≈ أغسطس 1333.,https://shamela.ws/book/1009/2598
ATT-GA12,AST-G05,1333–1354,موثّق,دولة الإسلام في الأندلس,ج 5 ص 134 (بحسب ترقيم الشاملة للمطبوع),ولكنه ما لبث أن قتل غيلة أثناء صلاته بالمسجد الأعظم فى يوم عيد الفطر سنة ٧٥٥ هـ (أكتوبر سنة ١٣٥٤ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),,https://shamela.ws/book/1009/2608
ATT-GA13,AST-G05,1333–1354,موثّق,Patronato de la Alhambra y Generalife,صفحة «Historia»,coincidiendo con los sultanatos de Yusuf I (1333-1354) y el segundo reinado de Muhammad V (1362-1391).,يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.alhambra-patronato.es/descubrir/historia
ATT-GA14,AST-G06,1354–1359,موثّق,دولة الإسلام في الأندلس,ج 5 ص 139 (بحسب ترقيم الشاملة للمطبوع),لم تمض ساعات قلائل على مصرع السلطان يوسف أبى الحجاج فى صبيحة يوم عيد الفطر سنة ٧٥٥ هـ، حتى خلفه فى الملك ولده محمد الملقب بالغنى بالله,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بداية الولاية الأولى 1354.,https://shamela.ws/book/1009/2613
ATT-GA15,AST-G06,1354–1359,موثّق,دولة الإسلام في الأندلس,ج 5 ص 140 (بحسب ترقيم الشاملة للمطبوع),في رمضان سنة ٧٦٠ هـ (١٣٥٩ م) نشبت فى غرناطة ثورة فقد فيها الغنى بالله ملكه,يدعم,مطابق حرفيًا عدا رسم الهمزة/الياء («ففى» في الأصل) (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),نهاية الولاية الأولى 1359.,https://shamela.ws/book/1009/2614
ATT-GA16,AST-G07,1362–1391,حُسم الخلاف,دولة الإسلام في الأندلس,ج 5 ص 141–142 (بحسب ترقيم الشاملة للمطبوع),واسترد محمد ملكه (جمادى الآخرة سنة ٧٦٣ هـ - ١٣٦١ م),يخالف,مطابق حرفيًا (فحص مباشر؛ النص يمتد ص141–142),عنان يقابل العودة بـ1361م بدل 1362؛ لكن جمادى الآخرة 763 ≈ أبريل 1362، فالخلاف ظاهري في التحويل على الأرجح. الاقتباس مركّب من نهاية ص141 وبداية ص142 كما عرضها المستخلص.,https://shamela.ws/book/1009/2616
ATT-GA17,AST-G07,1362–1391,حُسم الخلاف,دولة الإسلام في الأندلس,ج 5 ص 148 (بحسب ترقيم الشاملة للمطبوع),واستطال حكم الغنى بالله حتى سنة ٧٩٣ هـ (١٣٩١ م) وساد الأمن والسلام فى عصره,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),نهاية الولاية الثانية 1391.,https://shamela.ws/book/1009/2622
ATT-GA18,AST-G07,1362–1391,حُسم الخلاف,Patronato de la Alhambra y Generalife,صفحة «Historia»,coincidiendo con los sultanatos de Yusuf I (1333-1354) y el segundo reinado de Muhammad V (1362-1391).,يدعم,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),,https://www.alhambra-patronato.es/descubrir/historia
ATT-GA19,AST-G08,868هـ (1463/1464) – 1482,حُسم الخلاف,دولة الإسلام في الأندلس,ج 5 ص 167 (بحسب ترقيم الشاملة للمطبوع),وفى العام التالى أعنى سنة ٨٦٨ هـ، لما اشتد ضغط النصارى على الأندلس، عاد أبو الحسن فعقد الصلح مع أبيه... وعندئذ خلص العرش لأبى الحسن.,يدعم جزئيًا,مطابق حرفيًا لجزأيه، والنص مركّب بحذف (...) (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),868هـ = 1463–1464م؛ عنوان الكتاب الثاني «٨٦٨ - ٨٩٧: ١٤٦٣ - ١٤٩٢ م».,https://shamela.ws/book/1009/2641
ATT-GA20,AST-G08,868هـ (1463/1464) – 1482,حُسم الخلاف,دولة الإسلام في الأندلس,ج 5 ص 202 (بحسب ترقيم الشاملة للمطبوع),وجلس أبو عبد الله محمد مكان أبيه على عرش غرناطة,يدعم,مطابق حرفيًا بعد حذف رقم الحاشية (٥) (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),خلع أبي الحسن 887هـ/1482 («ففر الملك الشيخ إلى مالقة»؛ الصفحة تذكر جمادى الأولى ٨٨٧ - يوليه ١٤٨٢).,https://shamela.ws/book/1009/2675
ATT-GA21,AST-G08,868هـ (1463/1464) – 1482,حُسم الخلاف,Encyclopaedia Britannica (مرجعي عام),المقالة,Abū al-Ḥasan ʿAlī (1466–85),يخالف,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),بريتانيكا تبدأ ولايته 1466 وتنهيها 1485 (تجمع الولايتين).,https://www.britannica.com/topic/Nasrid-dynasty
ATT-GA22,AST-G09,1483–1485,موثّق,دولة الإسلام في الأندلس,ج 5 ص 204 (بحسب ترقيم الشاملة للمطبوع),واجتمع الكبراء والقادة وقرروا استدعاء أبى الحسن السلطان المخلوع ليجلس على العرش مكان ولده الأسير.,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بعد أسر أبي عبد الله عند اللسانة (ربيع الأول 888/أبريل 1483، ص 203).,https://shamela.ws/book/1009/2677
ATT-GA23,AST-G09,1483–1485,موثّق,دولة الإسلام في الأندلس,ج 5 ص 204 (بحسب ترقيم الشاملة للمطبوع),"فنزل عن العرش لأخيه محمد أبى عبد الله ""الزغل"" حاكم مالقة، وارتد إلى المنكَّب فأقام بها حيناً حتى توفى (٨٩٠ هـ - ١٤٨٥ م).",يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),التاريخ بين القوسين متعلق بالوفاة؛ النزول قبلها في 1485 ضمنًا.,https://shamela.ws/book/1009/2677
ATT-GA24,AST-G10,1485–1487,موثّق,دولة الإسلام في الأندلس,ج 5 ص 204 (بحسب ترقيم الشاملة للمطبوع),"فنزل عن العرش لأخيه محمد أبى عبد الله ""الزغل"" حاكم مالقة، وارتد إلى المنكَّب فأقام بها حيناً حتى توفى (٨٩٠ هـ - ١٤٨٥ م).",يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),بداية الزغل 1485.,https://shamela.ws/book/1009/2677
ATT-GA25,AST-G10,1485–1487,موثّق,دولة الإسلام في الأندلس,ج 5 ص 214 (بحسب ترقيم الشاملة للمطبوع),وأنه دخلها وتبوأ العرش مكانه (٥ جمادى الأولى - ٢٨ أبريل),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),سياق: سقوط بلش مالقة «فى جمادى الأولى سنة ٨٩٢ هـ (ابريل سنة ١٤٨٧)»، ودخول أبي عبد الله غرناطة وانسحاب الزغل إلى وادي آش؛ نهاية ولايته في غرناطة 1487.,https://shamela.ws/book/1009/2687
ATT-GA26,AST-G11,1482–1483,موثّق,دولة الإسلام في الأندلس,ج 5 ص 202 (بحسب ترقيم الشاملة للمطبوع),وجلس أبو عبد الله محمد مكان أبيه على عرش غرناطة,يدعم,مطابق حرفيًا بعد حذف رقم الحاشية (٥) (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),الصفحة تؤرخ الأحداث بـ«جمادى الأولى ٨٨٧ - يوليه ١٤٨٢».,https://shamela.ws/book/1009/2675
ATT-GA27,AST-G11,1482–1483,موثّق,دولة الإسلام في الأندلس,ج 5 ص 203 (بحسب ترقيم الشاملة للمطبوع),كان بين الأسرى السلطان أبو عبد الله محمد نفسه,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),أسره عند اللسانة (Lucena) ربيع الأول 888 / أبريل 1483 = نهاية الولاية الأولى.,https://shamela.ws/book/1009/2676
ATT-GA28,AST-G12,1487–1492,موثّق,دولة الإسلام في الأندلس,ج 5 ص 214 (بحسب ترقيم الشاملة للمطبوع),وأنه دخلها وتبوأ العرش مكانه (٥ جمادى الأولى - ٢٨ أبريل),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),892هـ/1487.,https://shamela.ws/book/1009/2687
ATT-GA29,AST-G12,1487–1492,موثّق,دولة الإسلام في الأندلس,ج 5 ص 264 (بحسب ترقيم الشاملة للمطبوع),وفى صباح اليوم الثانى من يناير سنة ١٤٩٢ م، فى الوقت,يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),نهاية الولاية بالتسليم.,https://shamela.ws/book/1009/2737
ATT-GA30,AST-G12,1487–1492,موثّق,Encyclopaedia Britannica (مرجعي عام),المقالة,His reign (1482–92) was marked by incessant civil strife and the fall of Granada to Ferdinand and Isabella.,يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),مدى إجمالي لا يفصّل الانقطاع.,https://www.britannica.com/biography/Muhammad-XI
ATT-GA31,AST-G13,محمد بن يوسف بن نصر؛ أبو عبد الله؛ الغالب بالله؛ ابن الأحمر,موثّق,دولة الإسلام في الأندلس,ج 5 ص 38 (بحسب ترقيم الشاملة للمطبوع),محمد بن يوسف بن محمد بن أحمد بن خميس بن نصر ابن قيس الخزرجى,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),يؤكد «محمد بن يوسف ... بن نصر»؛ ولم يُعثر في الصفحات المفحوصة على «أبو عبد الله» أو «الغالب بالله» لمحمد الأول. «ابن الأحمر» مستعمل عند عنان مرارًا (ص 41، 53).,https://shamela.ws/book/1009/2512
ATT-GA32,AST-G13,محمد بن يوسف بن نصر؛ أبو عبد الله؛ الغالب بالله؛ ابن الأحمر,موثّق,Encyclopaedia Britannica (مرجعي عام),المقالة,"The first Naṣrid ruler, Muḥammad I al-Ghālib (d. 1273)",يدعم جزئيًا,مطابق حرفيًا (فحص الصفحة الحية عبر WebFetch بنموذج مساعد، 2026-09-23 — يُعاد بالعين قبل النشر),يدعم لقب الغالب.,https://www.britannica.com/topic/Nasrid-dynasty
ATT-GA33,AST-G14,1318 (28 ربيع الآخر 718هـ) – 1354 (1 شوال 755هـ),صُحح وموثّق,دولة الإسلام في الأندلس,ج 5 ص 125 (بحسب ترقيم الشاملة للمطبوع),وولى العرش من بعده أخوه أبو الحجاج يوسف بن أبى الوليد إسماعيل، وهو فتى فى السادسة عشرة.,يدعم جزئيًا,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),ابن 16 عند ولايته (ذو الحجة 733/1333) ⇒ مولده نحو 717–718هـ/1317–1318م؛ لا نص صريح بسنة المولد.,https://shamela.ws/book/1009/2599
ATT-GA34,AST-G14,1318 (28 ربيع الآخر 718هـ) – 1354 (1 شوال 755هـ),صُحح وموثّق,دولة الإسلام في الأندلس,ج 5 ص 134 (بحسب ترقيم الشاملة للمطبوع),ولكنه ما لبث أن قتل غيلة أثناء صلاته بالمسجد الأعظم فى يوم عيد الفطر سنة ٧٥٥ هـ (أكتوبر سنة ١٣٥٤ م),يدعم,مطابق حرفيًا (فحص آلي بأداة verify_quote في وصلة الشاملة، 2026-09-23),اغتيال 1354.,https://shamela.ws/book/1009/2608
